in,,
"compliance ol Ilon'ble Supreme Court's ordei dated 02/11/2023, leceived from 20/11/2023",,
up to 02/12/2023,,
National Parties,,
SI No Name of Political Party Date of receipt of envelope,,
1 National People's Party 28 1 1 2023,,
State Parties,,
2 A ISU Party 21 11 2023,,
3 Goa Forward Party 21 1 1 2023,,
4 All India NR Congiess 22 11 2023,,
5 Sikkim Demociatic Front 22 11 2023,,
6 Desi>a Muipokku Diavida Kazhagain 23 11 2023 (Bv e-mail),,
7 Jammu & Kashmir People's Conterenct 23 11 2023,,
8 Mahaiashtiawadi Gomantak Party 24 1 1 2023,,
9 Bodoland People's Fiont 24 1 1 2023,,
10 Asom Gana Parishad 24 11 2023,,
11 & 12 lanata Dal (United)( two envelopes) 27 1 1 2023 & 28 1 1 2023,,
13 Shiiomam Akali Dal 01 12 2023,,
14 Keiala Congiess( M) 01 12 2023,,
Registered Uniecognized Parties,,
15 Public Adhikar Socialist Indian Party 20 1 1 2023,,
6 Adim Bhartiya Dal 20 1 1 2023,,
111,Lok Ekta Party,25 11 2023
112,Odisha Janata Party,25 11 2023
113 Bharathiya Piaja Shakti,25 11 2023,
114 Bharatiya National Janta Dal,25 11 2023,
25 11 2023115Bharatiya People's Party (BPP),,
116 Anbu Udhayam Katchi,25 11 2023,
117 Deseeya Praja Socialist Party,25 11 2023,
118 Jwala Dal,25 11 2023,
119 Anna Puratchi Thalaivar,28 11 2023,
120 Bhaiatiya Prajagala Kalyana Paksha,28 11 2023,
121 Abua Jhaikhand Paity,28 11 2023,
122 Janta Samajwadi Party (B),28 11 2023,
123 Samarth Kisan Party,28 11 2023,
124 Party name not mentioned,28 11 2023,
(received fiom Binod Kumar Nagar),,
"125 Received from CEO, Gujaiat",28 11 2023,
126 Anaithu India Makkal Katchi,28 11 2023,
127 Perunthalaiver Makkal Katchi,28 11 2023,
128 Aap aur Hum Party,28 11 2023,
129 All India Jananayaka Makkal Kazhagam,28 11 2023,
130 Indian Alliance Paity,28 11 2023,
131 Bundelkhand Congress,28 11 2023,
132 Amia  Bangalee,28 11 2023,
133 Tamil Nadu Mahatma Gandhi Makkal Katchi,28 11 2023,
134 Indian Democratic Party,28 11 2023,
135 Rashtriya Janshakti Samaj Party,28 11 2023,
136,Jan Man Party,28 11 2023
137,Viswa Bhaiath People's Party,28 11 2023
138,Rashtiiya Samta Vikas Party,28 11 2023
139,United Republication Party of India,28 11 2023
140,Adhunik Bharat Party,28 11 2023
141,Rashtiiya Sab Janshakti Party,28 11 2023
142,Bengaluiu Nava Nirmana Party,28 11 2023
143,Bhaiateeya Manavadhikar Party,28 11 2023
144,Vishal Janta Party,28 11 2023
145,Sampooina Bharat Kianti Party,28 11 2023
146,Gujarat Sarva Samaj Paity,28 11 2023
147,Paity name not Mentioned,28 11 2023
,(received from Rahul Chimanbhai Mehta),
148,People Liberation Party/ Makkal Vidulai Katchi,28 11 2023
149,Indian Chiistian Fiont,28 11 2023
150,Nationalist Justice Party,28 11 2023
151,Kerala Revolutionary Socialist Party (Lenmist-,28 11 2023
,Maixist),
152,Johaar Party,28 11 2023
153,Anna Puiatchi Thalaivai Amma Dravida Munnetia,28 11 2023
,Kazh again,
154,"Received from CEO, Tamil Nadu",28 11 2023
155,Awami Samta Party,28 11 2023
156,Tuluvere Paksha,28 11 2023
157,Samajik Nyay Navlok Party,28 11 2023
158,Krantikaii Parivartan Party,28 11 2023
28 11 2023159Rashtriya Jan Gaurav Party,,
28 11 2023160Justice and Development Party,,
161 Bhaiatiya Sangharsh Moicha 28 11 2023,,
162 Rashtiiya Backwaid Party 28 11 2023,,
"163 Received from CEO, Aiunachal Pradesh 28 11 2023",,
164 Akhil Bhartiya Pauvar Party 28 11 2023,,
165 Bundelkhand Kianti Dal 28 11 2023,,
166 Gareeb Samaj Swaiaj party 28 11 2023,,
167 Jan Jan (United) Party 28 11 2023,,
168 Apni Jantantnk Party 28 11 2023,,
169 Jai Hind National Party 28 11 2023,,
170 Aabaad Party 28 11 2023,,
171 Yuva Vikas Party 28 11 2023,,
172 Sarvjan Sukhay Party 28 11 2023,,
173 Sarvhaia Dal 28 11 2023,,
174 Hindustan Hamaia Party 28 11 2023,,
175 Aam Jan Party (Seculai) 28 11 2023,,^
176 Anna Makkal Katchi 28 1 1 2023,,
177 Mang Samaj Party 28 11 2023,,
178 Prajatantiik Jansevak Party 28 11 2023,,
179 Sarv Vikas Party 28 11 2023,,
180 Bhartiya Janata Samajsevi Party 28 11 2023,,
181 Mahan Samatawadi Party 28 11 2023,,
182,Ikkjutt Jammu,30 11 2023
183,Ganb Democratic Party,30 11 2023
184,Aam Janta Party Socialist,30 11 2023
185,Rashtiiya Vyapari Party,30 11 2023
186,Akhil Bhartiya Janadesh Party,30 11 2023
187,Satya Bahumat Party,01 12 2023
188,Country Citizen Party,01 12 2023
189,Bharatrashtia Democratic Party,01 12 2023
190,Bharat Jan Aadhar Party,01 12 2023
191,Islam Party Hind,01 12 2023
192,Kamatapui People's Party (United),01 12 2023
193,"Nationalist Justice Party (Received fiom CEO, Punjab)",01 12 2023
194,Maanavvaadi Janta Party,01 12 2023
195,Rashtuya Secular Majilis Party,01 12 2023
196,Hind Vikas Party,01 12 2023
197,Party name not Mentioned,01 12 2023
,(leceived fiom Ajit Bhaskar),
198,Jan Samuh Party,01 12 2023
199,Akhand Bhaiat Samiajya Party,01 12 2023
200,Education Woild,01 12 2023
201,Justice Party,01 12 2023
202,Rashtuya Yuva Adhikai Dal,01 12 2023
203,Bharatiya Rashtuya Morcha,02 12 2023
204,"Envelope received from CEO, Gujarat",02 12 2023
209,Swadesh Jansewak Party,02 12 2023
210,"Envelope leceived fiom CEO, Sikkim",02 12 2023
